Question,Options,Correct Option,Explanation,Topic
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,"['120 metres', '180 metres', '324 metres', '150 metres']",D,Speed =60 x5m/sec=50m/sec.183Length of the train = (Speed x Time).Length of the train =50x 9m = 150 m.3,problems-on-trains
"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:","['45 km/hr', '50 km/hr', '54 km/hr', '55 km/hr']",B,"Speed of the train relative to man =125m/sec10=25m/sec.2=25x18km/hr25= 45 km/hr.Let the speed of the train bexkm/hr. Then, relative speed = (x- 5) km/hr.x- 5 = 45x= 50 km/hr.",problems-on-trains
"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:","['200 m', '225 m', '245 m', '250 m']",C,"Speed =45 x5m/sec=25m/sec.182Time = 30 sec.Let the length of bridge bexmetres.Then,130 +x=253022(130 +x) = 750x= 245 m.Video Explanation:https://youtu.be/M_d8WufJWKc",problems-on-trains
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,"['1 : 3', '3 : 2', '3 : 4', 'None of these']",B,"Let the speeds of the two trains bexm/sec andym/sec respectively.Then, length of the first train = 27xmetres,and length of the second train = 17ymetres.27x+ 17y= 23x+y27x+ 17y= 23x+ 23y4x= 6yx=3.y2",problems-on-trains
"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?","['120 m', '240 m', '300 m', 'None of these']",B,"Speed =54 x5m/sec = 15 m/sec.18Length of the train = (15 x 20)m = 300 m.Let the length of the platform bexmetres.Then,x+ 300= 1536x+ 300 = 540x= 240 m.",problems-on-trains
A train 240 m long passes a pole in 24 seconds. How long will it take to pass a platform 650 m long?,"['65 sec', '89 sec', '100 sec', '150 sec']",B,Speed =240m/sec = 10 m/sec.24Required time =240 + 650sec = 89 sec.10,problems-on-trains
Two trains of equal length are running on parallel lines in the same direction at 46 km/hr and 36 km/hr. The faster train passes the slower train in 36 seconds. The length of each train is:,"['50 m', '72 m', '80 m', '82 m']",A,"Let the length of each train bexmetres.Then, distance covered = 2xmetres.Relative speed = (46 - 36) km/hr=10 x5m/sec18=25m/sec92x=253692x= 100x= 50.",problems-on-trains
A train 360 m long is running at a speed of 45 km/hr. In what time will it pass a bridge 140 m long?,"['40 sec', '42 sec', '45 sec', '48 sec']",A,"Formula for converting from km/hr to m/s:Xkm/hr =Xx5m/s.18Therefore, Speed =45 x5m/sec=25m/sec.182Total distance to be covered = (360 + 140) m = 500 m.Formula for finding Time=DistanceSpeedRequired time =500 x 2sec= 40 sec.25",problems-on-trains
Two trains are moving in opposite directions @ 60 km/hr and 90 km/hr. Their lengths are 1.10 km and 0.9 km respectively. The time taken by the slower train to cross the faster train in seconds is:,"['36', '45', '48', '49']",C,Relative speed = (60+ 90) km/hr=150 x5m/sec18=125m/sec.3Distance covered = (1.10 + 0.9) km = 2 km = 2000 m.Required time =2000 x3sec = 48 sec.125,problems-on-trains
A jogger running at 9 kmph alongside a railway track in 240 metres ahead of the engine of a 120 metres long train running at 45 kmph in the same direction. In how much time will the train pass the jogger?,"['3.6 sec', '18 sec', '36 sec', '72 sec']",C,Speed of train relative to jogger = (45 - 9) km/hr = 36 km/hr.=36 x5m/sec18= 10 m/sec.Distance to be covered = (240 + 120) m = 360 m.Time taken =360sec= 36 sec.10,problems-on-trains
